t = 0 ; Y = ((1,0,0),(0,1,0))
t = 0.075 ; Y = ((0.997189,0.0749297,0),(-0.0749297,0.997189,0))
t = 0.076 ; Y = ((0.997113,0.0759269,0),(-0.0759269,0.997113,0))
t = 0.077 ; Y = ((0.997037,0.0769239,0),(-0.0769239,0.997037,0))
t = 0.078 ; Y = ((0.99696,0.0779209,0),(-0.0779209,0.99696,0))
t = 0.079 ; Y = ((0.996881,0.0789179,0),(-0.0789179,0.996881,0))
t = 0.08 ; Y = ((0.996802,0.0799147,0),(-0.0799147,0.996802,0))
t = 0.081 ; Y = ((0.996721,0.0809115,0),(-0.0809115,0.996721,0))
t = 0.082 ; Y = ((0.99664,0.0819081,0),(-0.0819081,0.99664,0))
t = 0.083 ; Y = ((0.996557,0.0829047,0),(-0.0829047,0.996557,0))
t = 0.084 ; Y = ((0.996474,0.0839013,0),(-0.0839013,0.996474,0))
t = 0.085 ; Y = ((0.99639,0.0848977,0),(-0.0848977,0.99639,0))
t = 0.086 ; Y = ((0.996304,0.085894,0),(-0.085894,0.996304,0))
t = 0.087 ; Y = ((0.996218,0.0868903,0),(-0.0868903,0.996218,0))
t = 0.088 ; Y = ((0.99613,0.0878865,0),(-0.0878865,0.99613,0))
t = 0.089 ; Y = ((0.996042,0.0888826,0),(-0.0888826,0.996042,0))
t = 0.09 ; Y = ((0.995953,0.0898785,0),(-0.0898785,0.995953,0))
t = 0.091 ; Y = ((0.995862,0.0908745,0),(-0.0908745,0.995862,0))
t = 0.092 ; Y = ((0.995771,0.0918703,0),(-0.0918703,0.995771,0))
t = 0.093 ; Y = ((0.995679,0.092866,0),(-0.092866,0.995679,0))
t = 0.094 ; Y = ((0.995585,0.0938616,0),(-0.0938616,0.995585,0))
t = 0.095 ; Y = ((0.995491,0.0948572,0),(-0.0948572,0.995491,0))
t = 0.096 ; Y = ((0.995396,0.0958526,0),(-0.0958526,0.995396,0))
t = 0.097 ; Y = ((0.995299,0.096848,0),(-0.096848,0.995299,0))
t = 0.098 ; Y = ((0.995202,0.0978432,0),(-0.0978432,0.995202,0))
t = 0.099 ; Y = ((0.995104,0.0988384,0),(-0.0988384,0.995104,0))
t = 0.1 ; Y = ((0.995004,0.0998334,0),(-0.0998334,0.995004,0))
t = 0.101 ; Y = ((0.994904,0.100828,0),(-0.100828,0.994904,0))
t = 0.102 ; Y = ((0.994803,0.101823,0),(-0.101823,0.994803,0))
t = 0.103 ; Y = ((0.9947,0.102818,0),(-0.102818,0.9947,0))
t = 0.104 ; Y = ((0.994597,0.103813,0),(-0.103813,0.994597,0))
t = 0.105 ; Y = ((0.994493,0.104807,0),(-0.104807,0.994493,0))
t = 0.106 ; Y = ((0.994387,0.105802,0),(-0.105802,0.994387,0))
t = 0.107 ; Y = ((0.994281,0.106796,0),(-0.106796,0.994281,0))
t = 0.108 ; Y = ((0.994174,0.10779,0),(-0.10779,0.994174,0))
t = 0.109 ; Y = ((0.994065,0.108784,0),(-0.108784,0.994065,0))
t = 0.11 ; Y = ((0.993956,0.109778,0),(-0.109778,0.993956,0))
t = 0.111 ; Y = ((0.993846,0.110772,0),(-0.110772,0.993846,0))
t = 0.112 ; Y = ((0.993735,0.111766,0),(-0.111766,0.993735,0))
t = 0.113 ; Y = ((0.993622,0.11276,0),(-0.11276,0.993622,0))
t = 0.114 ; Y = ((0.993509,0.113753,0),(-0.113753,0.993509,0))
t = 0.115 ; Y = ((0.993395,0.114747,0),(-0.114747,0.993395,0))
t = 0.116 ; Y = ((0.99328,0.11574,0),(-0.11574,0.99328,0))
t = 0.117 ; Y = ((0.993163,0.116733,0),(-0.116733,0.993163,0))
t = 0.118 ; Y = ((0.993046,0.117726,0),(-0.117726,0.993046,0))
t = 0.119 ; Y = ((0.992928,0.118719,0),(-0.118719,0.992928,0))
t = 0.12 ; Y = ((0.992809,0.119712,0),(-0.119712,0.992809,0))
t = 0.121 ; Y = ((0.992688,0.120705,0),(-0.120705,0.992688,0))
t = 0.122 ; Y = ((0.992567,0.121698,0),(-0.121698,0.992567,0))
t = 0.123 ; Y = ((0.992445,0.12269,0),(-0.12269,0.992445,0))
t = 0.124 ; Y = ((0.992322,0.123682,0),(-0.123682,0.992322,0))
t = 0.125 ; Y = ((0.992198,0.124675,0),(-0.124675,0.992198,0))
t = 0.126 ; Y = ((0.992072,0.125667,0),(-0.125667,0.992072,0))
t = 0.127 ; Y = ((0.991946,0.126659,0),(-0.126659,0.991946,0))
t = 0.128 ; Y = ((0.991819,0.127651,0),(-0.127651,0.991819,0))
t = 0.129 ; Y = ((0.991691,0.128643,0),(-0.128643,0.991691,0))
t = 0.13 ; Y = ((0.991562,0.129634,0),(-0.129634,0.991562,0))
t = 0.131 ; Y = ((0.991432,0.130626,0),(-0.130626,0.991432,0))
t = 0.132 ; Y = ((0.991301,0.131617,0),(-0.131617,0.991301,0))
t = 0.133 ; Y = ((0.991169,0.132608,0),(-0.132608,0.991169,0))
t = 0.134 ; Y = ((0.991035,0.133599,0),(-0.133599,0.991035,0))
t = 0.135 ; Y = ((0.990901,0.13459,0),(-0.13459,0.990901,0))
t = 0.136 ; Y = ((0.990766,0.135581,0),(-0.135581,0.990766,0))
t = 0.137 ; Y = ((0.99063,0.136572,0),(-0.136572,0.99063,0))
t = 0.138 ; Y = ((0.990493,0.137562,0),(-0.137562,0.990493,0))
t = 0.139 ; Y = ((0.990355,0.138553,0),(-0.138553,0.990355,0))
t = 0.14 ; Y = ((0.990216,0.139543,0),(-0.139543,0.990216,0))
t = 0.141 ; Y = ((0.990076,0.140533,0),(-0.140533,0.990076,0))
t = 0.142 ; Y = ((0.989935,0.141523,0),(-0.141523,0.989935,0))
t = 0.143 ; Y = ((0.989793,0.142513,0),(-0.142513,0.989793,0))
t = 0.144 ; Y = ((0.98965,0.143503,0),(-0.143503,0.98965,0))
t = 0.145 ; Y = ((0.989506,0.144492,0),(-0.144492,0.989506,0))
t = 0.146 ; Y = ((0.989361,0.145482,0),(-0.145482,0.989361,0))
t = 0.147 ; Y = ((0.989215,0.146471,0),(-0.146471,0.989215,0))
t = 0.148 ; Y = ((0.989068,0.14746,0),(-0.14746,0.989068,0))
t = 0.149 ; Y = ((0.98892,0.148449,0),(-0.148449,0.98892,0))
t = 0.15 ; Y = ((0.988771,0.149438,0),(-0.149438,0.988771,0))
t = 0.151 ; Y = ((0.988621,0.150427,0),(-0.150427,0.988621,0))
t = 0.152 ; Y = ((0.98847,0.151415,0),(-0.151415,0.98847,0))
t = 0.153 ; Y = ((0.988318,0.152404,0),(-0.152404,0.988318,0))
t = 0.154 ; Y = ((0.988165,0.153392,0),(-0.153392,0.988165,0))
t = 0.155 ; Y = ((0.988012,0.15438,0),(-0.15438,0.988012,0))
t = 0.156 ; Y = ((0.987857,0.155368,0),(-0.155368,0.987857,0))
t = 0.157 ; Y = ((0.987701,0.156356,0),(-0.156356,0.987701,0))
t = 0.158 ; Y = ((0.987544,0.157343,0),(-0.157343,0.987544,0))
t = 0.159 ; Y = ((0.987386,0.158331,0),(-0.158331,0.987386,0))
t = 0.16 ; Y = ((0.987227,0.159318,0),(-0.159318,0.987227,0))
t = 0.161 ; Y = ((0.987067,0.160305,0),(-0.160305,0.987067,0))
t = 0.162 ; Y = ((0.986907,0.161292,0),(-0.161292,0.986907,0))
t = 0.163 ; Y = ((0.986745,0.162279,0),(-0.162279,0.986745,0))
t = 0.164 ; Y = ((0.986582,0.163266,0),(-0.163266,0.986582,0))
t = 0.165 ; Y = ((0.986418,0.164252,0),(-0.164252,0.986418,0))
t = 0.166 ; Y = ((0.986254,0.165239,0),(-0.165239,0.986254,0))
t = 0.167 ; Y = ((0.986088,0.166225,0),(-0.166225,0.986088,0))
